ngram,count
"['LOAD', '""editor""']",1
"['POKE', '57809']",1
"['SYS', '""inv-mc""']",1
"['DATA', '224']",6
"['DATA', '30']",4
"['DATA', '60']",6
"['DATA', '255']",17
"['DATA', '240']",8
"['DATA', '7']",10
"['DATA', '31']",4
"['DATA', '1']",10
"['DATA', '254']",4
"['TO', '5120']",2
"['CHR$', '""inv-game""']",1
"['CHR$', '""{clr}load""']",1
"['PEEK', 'd']",2
"['POKE', '15432']",1
"['POKE', 'POKE']",118
"['POKE', '32']",1
"['POKE', '15430']",1
"['POKE', '104']",1
"['THEN', 'hi']",3
"['DATA', '15']",8
"['PEEK', '15']",1
"['REM', ':']",14
"['TO', '4136']",1
"['REM', ' basisblinken']",1
"['TO', '860']",2
"['REM', ' himmelblinken']",1
"['REM', ' bodenblinken']",1
"['REM', ' invaderblinken']",1
"['POKE', '839']",1
"['POKE', '840']",1
"['POKE', '851']",1
"['POKE', '862']",1
"['PRINT', '""    score: 000000""']",1
"['PRINT', '""{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{green}@@@@@@@@@@@@@@@@@@@@@""']",1
"['POKE', '4601']",1
"['POKE', '38393']",1
"['TO', 'i']",7
"['PRINT', '""{clr}{green}highscore: ""']",1
"['REM', ' invader-move']",1
"['REM', ' ufo']",1
"['REM', ' tastaturabfrage']",1
"['REM', ' anzahl basen']",1
"['READ', 'r']",2
"['PRINT', '""{home}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{down}{purple}{rvs_on}{right}{right}lmn{right}{right}opq{right}{right}rst{right}{right}uvw""']",1
"['PRINT', '""{right}{right}{rvs_on}""']",1
"['POKE', '853']",1
"['POKE', '854']",1
"['SYS', '15936']",1
"['POKE', '3']",1
"['SYS', 's4']",1
"['SYS', 's5']",1
"['SYS', 's6']",1
"['SYS', 's7']",1
"['SYS', 's8']",1
"['SYS', 's9']",1
"['SYS', 's2']",1
"['GOSUB', '550']",2
"['SYS', 's1']",1
"['IF', 'ml']",1
"['THEN', 'ml']",1
"['IF', 'mr']",1
"['THEN', 'mr']",1
"['PRINT', '""licht""']",1
"['GOSUB', '91']",2
"['PRINT', '""luft=0""']",1
"['GOSUB', '92']",1
"['PRINT', '""ra""']",1
"['PRINT', '""wand gerammt""']",1
"['PRINT', '""drehen""']",1
"['IF', 'nm']",1
"['IF', 'm']",5
"['IF', 'dc']",2
"['THEN', '56']",1
"['PEEK', 'm']",1
"['GOTO', '57']",2
"['GOSUB', '90']",5
"['GOSUB', '12']",1
"['THEN', 'rm']",1
"['GOTO', '33']",2
"['IF', 'r']",11
"['IF', 'q']",8
"['THEN', '27']",2
"['THEN', 'np']",1
"['PEEK', 'q']",1
"['THEN', '34']",1
