ngram,count
"['NEXT', 'j', ',']",5
"['PRINT', 'q$', '""da ist ein hammer""']",1
"['FOR', 'j', 'POKE']",1
"['PRINT', 'q$', '""da ist ein pflock""']",1
"['GET', 'a$', ':']",25
"['NEXT', 'q', ',']",1
"['=', 'qq', 'FOR']",1
"['NEXT', 'qq', ',']",1
"['+', 'q', ',']",4
"[':', 'zl', '=']",1
"[':', 'ad', '=']",1
"['=', 'ad', '+']",1
"['IF', 'ad', '=>']",1
"['24', 'ad', '=']",1
"[':', 'ss', '=']",2
"['"" uhr ""', 'q$', '""{down}{down}{down}""']",1
"['PRINT', 'q$', '"" ""']",1
"['"" ""', 'a$', ';']",1
"['=', 'a$', '+']",4
"['+', 'vn$', ':']",1
"['PRINT', 'q$', '""eingangstuer ist""']",1
"['PRINT', 'q$', '""befehl falsch""']",1
"['=', 'dq', 'IF']",1
"['IF', 'lg', '-']",6
"['OR', 'vn$', '=']",9
"['ON', 'yy', 'GOTO']",15
"['(', 'vn$', ',']",13
"[',', 'lg', '-']",4
"['1', 'ph', 'IF']",1
"['IF', 'h', '=']",10
"['IF', 'gi', '=']",2
"['AND', 'vn$', '=']",8
"['THEN', 'da', '=']",2
"[':', 'sc', '=']",6
"['IF', 'ph', '=']",1
"['""nimm pflock""', 'ph', '=']",1
"['AND', 'b1', '=']",3
"['THEN', 'b1', '=']",2
"['-', 'lg', ',']",7
"['<>', 'pf', 'AND']",1
"[',', 'vn$', '(']",9
"['=', 'pf', 'AND']",2
"['IF', 'lg', 'vn$']",1
"['lg', 'vn$', '(']",2
"['=', 'vn$', 'OR']",5
"['=', 'vn$', 'IF']",10
"['=', 'vn$', 'h']",2
"['-', 'lg', 'IF']",2
"['-', 'h', 'lg']",1
"['h', 'lg', 'vn$']",1
"['=', 'pe', ':']",2
"['""schlaf""', 'vn$', 'AND']",1
"['=', 'pe', 'IF']",1
"['=', 'pf', ':']",1
"['LEFT$', 'h', ':']",1
"['PRINT', 'q$', '""ok hast genommen""']",1
"['THEN', 'sz', '=']",1
"['=', 'zt', '""geh tuer""']",1
"['=', 'zt', 'IF']",2
"['=', 'ge', 'IF']",2
"[':', 'gh', '=']",1
"['=', 'ze', 'AND']",3
"['AND', 'me', '=']",3
"['AND', 'gk', '=']",1
"['=', 'zi', 'IF']",1
"['THEN', 'gj', '=']",1
"[':', 'gk', '=']",4
"[':', 'hh', 'gz']",1
"['THEN', 'op', '=']",1
"['=', 'op', '+']",1
"['IF', 'op', '1']",1
"['THEN', 'li', '=']",2
"['IF', 'zn', '=']",2
"['=', 'ze', '+']",4
"['IF', 'zn', '=>']",1
"['IF', 'gh', '=']",1
"['AND', 'zn', '<']",2
"['OR', 'zn', '=>']",1
"['PRINT', 'q$', '""{rvs_on}{up}{up}{up}{right}{right}{right}{right}{right}{right}Z""']",1
"['PRINT', 'q$', '""{down}{down}{down}""']",1
"['IF', 'gz', '+']",2
"['IF', 'gg', '=']",3
"['IF', 'gk', '<>']",1
"[':', 'x', '<>']",1
"['=', 'dq', '+']",1
"['THEN', 'dq', '=']",1
"['IF', 'ii', '<']",1
"['OR', 'dr', '=']",1
"['IF', 'dd', '=']",1
"[':', 'gz', '=']",3
"[':', 'gh', 'GOSUB']",1
"['30', 'gh', 'THEN']",1
"[':', 'gg', '=']",1
"['THEN', 'ge', '=']",1
"[':', 'aa', '=']",1
"['IF', 'ha', '=']",1
"['AND', 'pf', '=']",1
"['AND', 'ph', '=']",2
"['OR', 'hb', '=']",1
"[':', 'd4', '=']",1
"['IF', 'du', '=']",3
"[':', 'dr', '=']",1
"['IF', 'ii', 'INT']",1
"['FOR', 'ij', '=']",1
"['TO', 'ii', ':']",1
"['=', 'ii', ':']",1
"['PRINT', 'q$', '""{down}{down}""']",1
"[':', 'lg', '=']",1
"['(', 'vn$', ')']",2
"[':', 'sl', '=']",1
"[':', 'd3', '=']",2
"['IF', 'd3', '=']",1
"['PRINT', 'q$', '""womit ?""']",1
"['OR', 'ze', '=<']",1
"['THEN', 'du', '=']",2
"['=', 'du', '+']",2
"[':', 'd2', '=']",3
"['""mit pflock""', 'h', '1']",1
"['AND', 'd4', '=']",1
"['=', 'vn$', 'AND']",4
"[':', 'd1', '=']",1
